stage,q
1.322,2.73
1.375,3.05
1.414,3.85
1.5,5.13
1.505,5.34
1.53,6.61
1.542,6.41
1.56,7.23
1.569,6.81
1.621,8.38
1.708,10.7
1.732,9.82
1.777,13.2
1.792,13.3
1.819,14.9
1.835,15.4
1.865,15.7
1.865,15.9
1.882,14.9
1.89,16.9
1.913,17
1.913,16.8
1.934,17.7
1.965,18.7
2.34,32.9
2.41,36.5
3.01,71.9
3.19,82.8
3.3,86.6
3.34,97.8
3.34,105
4.525,303
4.99,373
5.03,360
5.35,391
